Day,date,numconf,numdeaths,numtotal,numrecover
1,31/01/2020,4,0,4,0
2,08/02/2020,7,0,7,0
3,16/02/2020,8,0,8,0
4,21/02/2020,9,0,9,0
5,24/02/2020,10,0,10,0
6,25/02/2020,11,0,11,0
7,26/02/2020,12,0,12,0
8,27/02/2020,13,0,13,0
9,29/02/2020,15,0,15,0
10,01/03/2020,24,0,24,0
11,03/03/2020,33,0,33,0
12,05/03/2020,45,0,45,0
13,06/03/2020,51,0,51,0
14,07/03/2020,57,0,57,0
15,08/03/2020,62,1,62,0
16,09/03/2020,77,1,77,0
17,11/03/2020,103,2,103,0
18,12/03/2020,138,2,141,0
19,13/03/2020,176,2,179,0
20,14/03/2020,193,2,199,0
21,15/03/2020,249,2,253,0
22,16/03/2020,324,5,341,0
23,17/03/2020,424,8,440,0
24,18/03/2020,569,9,597,0
25,19/03/2020,846,12,873,0
26,20/03/2020,971,13,1004,0
27,21/03/2020,1302,18,1371,0
28,22/03/2020,1430,20,1471,0
29,23/03/2020,1646,24,2091,20
30,24/03/2020,1959,27,2792,50
31,25/03/2020,3385,35,3409,100
32,26/03/2020,4018,39,4043,230
33,27/03/2020,4675,53,4689,256
34,28/03/2020,5386,59,5425,502
35,29/03/2020,6255,61,6258,522
36,30/03/2020,7424,89,7437,1068
37,31/03/2020,8536,96,8548,1254
38,01/04/2020,9595,109,9613,1553
39,02/04/2020,11268,138,11283,1983
40,03/04/2020,12519,187,12537,2100
41,04/04/2020,13882,231,13904,2200
42,05/04/2020,15496,280,15512,2335
43,06/04/2020,16653,323,16667,3616
44,07/04/2020,17883,380,17897,4028
45,08/04/2020,19274,435,19289,4562
46,09/04/2020,20748,509,20765,4956
47,10/04/2020,22133,569,22148,5000
48,11/04/2020,23301,653,23318,5450
49,12/04/2020,24365,717,24383,6021
50,13/04/2020,25663,780,25680,6905
51,14/04/2020,27046,903,27063,8450
52,15/04/2020,28364,1010,28381,8000
53,16/04/2020,30081,1193,30092,9000
54,17/04/2020,31872,1309,31884,10000
55,18/04/2020,33341,1467,33354,11178
56,19/04/2020,34777,1580,34786,11786
57,20/04/2020,36823,1690,36831,12585
58,21/04/2020,38413,1834,38422,13188
59,22/04/2020,40179,1974,40190,13986
60,23/04/2020,42099,2146,42110,14761
61,24/04/2020,43877,2302,43888,15541
62,25/04/2020,45341,2465,45354,16425
63,26/04/2020,46884,2560,46895,17321
64,27/04/2020,48489,2707,48500,18268
65,28/04/2020,50015,2859,50026,19231
66,29/04/2020,51587,2996,51597,20327
67,30/04/2020,53225,3184,53236,21424
68,01/05/2020,55050,3391,55061,22751
69,02/05/2020,56703,3566,56714,23801
70,03/05/2020,59463,3682,59474,24908
71,04/05/2020,60761,3854,60772,26017
72,05/05/2020,62035,4043,62046,26993
73,06/05/2020,63485,4232,63496,28171
74,07/05/2020,64911,4408,64922,29247
75,08/05/2020,66423,4569,66434,30226
76,09/05/2020,67691,4693,67702,31249
77,10/05/2020,68837,4871,68848,32096
78,11/05/2020,69970,4993,69981,32994
79,12/05/2020,71146,5169,71157,34042
80,13/05/2020,72267,5304,72278,35164
81,14/05/2020,73477,5472,73488,36091
82,15/05/2020,74602,5562,74613,36895
83,16/05/2020,75853,5679,75864,37819
84,17/05/2020,76991,5782,77002,38550
85,18/05/2020,78061,5842,78072,39238
86,19/05/2020,79101,5912,79112,40050
87,20/05/2020,80112,6030,80123,40693
88,21/05/2020,81313,6152,81324,41728
89,22/05/2020,82469,6250,82480,42607
90,23/05/2020,83610,6355,83621,43318
91,24/05/2020,84688,6424,84699,43998
92,25/05/2020,85700,6545,85711,44651
93,26/05/2020,86636,6639,86647,45352
94,27/05/2020,87508,6765,87519,46177
95,28/05/2020,88501,6877,88512,46853
96,29/05/2020,89407,6979,89418,47533
97,30/05/2020,90179,7073,90190,48116
98,31/05/2020,90936,7295,90947,48892
99,01/06/2020,91694,7326,91705,49739
100,02/06/2020,92399,7395,92410,50357
101,03/06/2020,93074,7498,93085,51048
102,04/06/2020,93715,7637,93726,51739
103,05/06/2020,94324,7703,94335,52568
104,06/06/2020,95046,7773,95057,53614
105,07/06/2020,95688,7800,95699,54233
106,08/06/2020,96233,7835,96244,54833
107,09/06/2020,96642,7897,96653,55572
108,10/06/2020,97114,7960,97125,56639
109,11/06/2020,97519,7994,97530,57658
110,12/06/2020,97932,8049,97943,58523
111,13/06/2020,98399,8107,98410,59354
112,14/06/2020,98776,8146,98787,60272
113,15/06/2020,99136,8175,99147,61042
114,16/06/2020,99456,8213,99467,61443
115,17/06/2020,99842,8254,99853,62017
116,18/06/2020,100209,8300,100220,62496
117,19/06/2020,100618,8346,100629,63003
118,20/06/2020,101008,8410,101019,63488
119,21/06/2020,101326,8430,101337,63886
120,22/06/2020,101626,8436,101637,64334
121,23/06/2020,101952,8454,101963,64704
122,24/06/2020,102231,8484,102242,65091
123,25/06/2020,102611,8504,102622,65425
124,26/06/2020,102783,8508,102794,65726
125,27/06/2020,103021,8516,103032,65973
126,28/06/2020,103239,8522,103250,66191
127,29/06/2020,103907,8566,103918,67178
128,01/07/2020,104193,8591,104204,67594
129,02/07/2020,104760,8642,104771,68345
130,03/07/2020,105079,8663,105090,68693
131,04/07/2020,105305,8674,105316,68990
132,05/07/2020,105524,8684,105535,69239
133,06/07/2020,105923,8693,105934,69570
134,07/07/2020,106155,8711,106166,69883
135,08/07/2020,106422,8737,106433,70247
136,09/07/2020,106793,8749,106804,70574
137,10/07/2020,107114,8759,107125,70901
138,11/07/2020,107335,8773,107346,71266
139,12/07/2020,107579,8783,107590,71467
140,13/07/2020,108144,8790,108155,71841
141,14/07/2020,108475,8798,108486,72170
142,15/07/2020,108816,8810,108827,72485
143,16/07/2020,109253,8827,109264,72836
144,17/07/2020,109658,8839,109669,96689
145,18/07/2020,109988,8848,109999,96914
146,19/07/2020,110327,8852,110338,97051
147,20/07/2020,111113,8858,111124,97474
148,21/07/2020,111684,8862,111697,97757
149,22/07/2020,112227,8870,112240,98142
150,23/07/2020,112659,8874,112672,98519
151,24/07/2020,113193,8881,113206,98873
152,25/07/2020,113543,8885,113556,99115
153,26/07/2020,113898,8890,113911,99355
154,27/07/2020,114584,8901,114597,99860
155,28/07/2020,114980,8912,114994,100134
156,29/07/2020,115392,8919,115406,100465
157,30/07/2020,115785,8929,115799,100862
158,31/07/2020,116298,8935,116312,101227
159,01/08/2020,116585,8941,116599,101436
160,02/08/2020,116870,8945,116884,101574
161,03/08/2020,117017,8947,117031,101597
162,04/08/2020,117777,8958,117792,102450
163,05/08/2020,118172,8962,118187,102788
164,06/08/2020,118546,8966,118561,103106
165,07/08/2020,118970,8970,118985,103435
166,08/08/2020,119206,8976,119221,103566
167,09/08/2020,119436,8981,119451,103728
168,10/08/2020,120117,8987,120132,106355
169,11/08/2020,120406,8991,120421,106746
170,12/08/2020,120829,9006,120844,107148
171,13/08/2020,121234,9015,121234,107553
172,14/08/2020,121652,9020,121652,107942
173,15/08/2020,121889,9024,121889,108217
174,16/08/2020,122087,9026,122087,108484
175,17/08/2020,122872,9032,122872,109059
176,18/08/2020,123154,9044,123154,109357
177,19/08/2020,123490,9049,123490,109822
178,20/08/2020,123873,9054,123873,110288
179,21/08/2020,124372,9064,124372,110648
180,22/08/2020,124629,9071,124629,110878
181,23/08/2020,124896,9073,124896,111112
182,24/08/2020,125647,9083,125647,111694
183,25/08/2020,125969,9090,125969,112050
184,26/08/2020,126417,9094,126417,112455
185,27/08/2020,126848,9102,126818,112825
186,28/08/2020,127310,9113,127310,113234
187,29/08/2020,127673,9113,127673,113501
188,30/08/2020,127940,9117,127940,113664
189,31/08/2020,128948,9126,128948,114218
190,01/09/2020,129425,9132,129425,114607
191,02/09/2020,129923,9135,129923,115050
192,03/09/2020,130493,9141,130493,115444
193,04/09/2020,131124,9141,131124,115926
194,05/09/2020,131495,9143,131495,116136
195,06/09/2020,131895,9145,131895,116357
196,07/09/2020,132142,9146,132142,116459
197,08/09/2020,133748,9153,133748,117565
198,09/09/2020,134294,9155,134294,118271
199,10/09/2020,134924,9163,134924,118990
200,11/09/2020,135626,9163,135626,119674
201,12/09/2020,136141,9170,136141,120075
202,13/09/2020,136659,9171,136659,120431
203,14/09/2020,138010,9179,138010,121224
204,15/09/2020,138803,9188,138803,121840
205,16/09/2020,139747,9193,139747,122449
206,17/09/2020,140867,9200,140867,123109
207,18/09/2020,141911,9205,141911,123723
208,19/09/2020,142774,9211,142774,124187
209,20/09/2020,143649,9217,143649,124691
210,21/09/2020,145415,9228,145415,125534
211,22/09/2020,146663,9234,146663,126904
212,23/09/2020,147753,9243,147753,127788
213,24/09/2020,149094,9249,149094,128707
214,25/09/2020,150456,9255,150456,129573
215,26/09/2020,151671,9262,151671,130328
216,27/09/2020,153125,9268,153125,131098
217,28/09/2020,155301,9278,155301,132607
218,29/09/2020,156961,9291,156961,133737
219,30/09/2020,158758,9297,158758,134971
220,01/10/2020,160535,9319,160535,136350
221,02/10/2020,162659,9409,162659,137614
222,03/10/2020,164471,9462,164471,138867
223,04/10/2020,166156,9481,166156,140243
224,05/10/2020,168960,9504,168960,142334
225,06/10/2020,171323,9530,171323,143994
226,07/10/2020,173123,9541,173123,145666
227,08/10/2020,175559,9557,175559,147508
228,09/10/2020,178117,9585,178117,149524
229,10/10/2020,180179,9608,180179,151357
230,11/10/2020,181864,9613,181864,153219
231,12/10/2020,182839,9627,182839,154258
232,13/10/2020,186881,9654,186881,157486
233,14/10/2020,189385,9664,189387,159351
234,15/10/2020,191730,9699,191732,161490
235,16/10/2020,194106,9722,194106,163644
236,17/10/2020,196321,9746,196321,165446
237,18/10/2020,198148,9760,198148,167112
238,19/10/2020,201437,9778,201437,169671
239,20/10/2020,203688,9794,203688,171743
240,21/10/2020,206360,9829,206360,173748
241,22/10/2020,209148,9862,209148,175805
242,23/10/2020,211732,9888,211732,177879
243,24/10/2020,213959,9922,213959,179636
244,25/10/2020,216104,9946,216104,181429
245,26/10/2020,220213,9973,220213,184306
246,27/10/2020,222887,10001,222887,186464
247,28/10/2020,225586,10032,225586,188867
248,29/10/2020,228542,10074,228542,191209
249,30/10/2020,231999,10110,231999,193937
250,31/10/2020,235444,10136,235444,195876
251,01/11/2020,238688,10179,238688,197729
252,02/11/2020,241961,10208,241961,200052
253,03/11/2020,244935,10279,244935,203509
254,04/11/2020,248218,10336,248218,206037
255,05/11/2020,252140,10381,252140,207998
256,06/11/2020,255809,10436,255809,211237
257,07/11/2020,260055,10490,260055,213094
258,08/11/2020,264649,10522,264649,215005
259,09/11/2020,268735,10564,268735,218400
260,10/11/2020,273037,10632,273037,221279
261,11/11/2020,277596,10685,277596,223199
262,12/11/2020,282577,10768,282577,226775
263,13/11/2020,287318,10828,287318,230646
264,14/11/2020,292585,10891,292585,232915
265,15/11/2020,297390,10953,297390,235401
266,16/11/2020,302192,11027,302192,240287
267,17/11/2020,306468,11086,306468,244152
268,18/11/2020,311109,11186,311109,248321
269,19/11/2020,315751,11265,315751,252293
270,20/11/2020,320719,11334,320719,256646
271,21/11/2020,326424,11406,326424,260398
272,22/11/2020,331842,11455,331842,264049
273,23/11/2020,337555,11521,337555,269199
274,24/11/2020,342444,11618,342444,273391
275,25/11/2020,347466,11710,347466,277232
276,26/11/2020,353097,11799,353097,280923
277,27/11/2020,359064,11894,359064,286504
278,28/11/2020,365560,11991,365560,290700
279,29/11/2020,372036,12064,372036,294411
280,30/11/2020,378139,12130,378139,299972
281,01/12/2020,383468,12211,383468,304888
282,02/12/2020,389775,12325,389775,309886
283,03/12/2020,396269,12407,396269,314608
284,04/12/2020,402569,12496,402569,320096
285,05/12/2020,409568,12607,409568,324882
286,06/12/2020,416555,12693,416555,329138
287,07/12/2020,423054,12777,423054,338735
288,08/12/2020,429035,12867,429035,344200
